선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
조수행,두산,126,249,219,48,1,41,17,23,39,26,0.261,0.219,0.298,0.251,0.549,0.269,-0.57
김태근,두산,41,55,52,11,0,9,3,0,21,0,0.355,0.212,0.226,0.269,0.495,0.227,-0.57
박정현,한화,53,113,105,19,2,12,4,3,36,0,0.254,0.181,0.218,0.295,0.513,0.234,-0.57
주효상,KIA,19,36,32,2,0,2,1,2,10,0,0.091,0.063,0.118,0.063,0.181,0.099,-0.59
이성규,삼성,109,162,145,30,1,23,18,8,42,4,0.279,0.207,0.259,0.310,0.569,0.265,-0.61
황대인,KIA,60,199,174,37,5,19,26,18,50,0,0.262,0.213,0.296,0.322,0.618,0.285,-0.62
장승현,두산,76,158,139,22,3,11,9,6,36,1,0.190,0.158,0.235,0.230,0.465,0.225,-0.65
장진혁,한화,68,178,162,36,0,24,12,15,41,5,0.295,0.222,0.287,0.265,0.552,0.266,-0.67
이재원,SSG,27,48,44,4,0,3,2,2,8,0,0.108,0.091,0.128,0.114,0.242,0.119,-0.67
박주홍,Hero,27,57,49,6,0,5,2,5,26,1,0.240,0.122,0.196,0.163,0.359,0.182,-0.69
이상호,KT,63,60,54,8,0,15,5,2,9,2,0.178,0.148,0.179,0.167,0.346,0.165,-0.70
유로결,한화,27,53,48,7,0,5,5,1,10,1,0.175,0.146,0.173,0.167,0.340,0.161,-0.72
김인환,한화,112,365,325,73,7,34,42,35,91,1,0.287,0.225,0.301,0.338,0.639,0.296,-0.76
강한울,삼성,72,240,212,46,0,30,10,20,54,1,0.288,0.217,0.282,0.269,0.551,0.263,-0.77
한동희,롯데,108,353,319,71,5,30,32,26,58,1,0.253,0.223,0.279,0.304,0.583,0.272,-0.90
박찬혁,Hero,48,167,154,31,1,13,8,10,41,0,0.268,0.201,0.263,0.266,0.529,0.253,-0.99
황성빈,롯데,74,191,170,36,0,22,8,12,28,9,0.254,0.212,0.268,0.253,0.521,0.250,-1.04
오그레디,한화,22,86,80,10,0,3,8,5,40,1,0.244,0.125,0.174,0.163,0.337,0.165,-1.19
이원석,Hero,70,273,247,54,1,16,20,20,59,0,0.282,0.219,0.284,0.255,0.539,0.259,-1.55
채현우,SSG,1,0,0,0,0,1,0,0,0,0,,,,,,,
