선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
윤정빈,삼성,28,43,34,5,1,5,3,7,12,1,0.190,0.147,0.326,0.235,0.561,0.293,-0.06
김병준,KT,3,2,2,0,0,0,0,0,2,0,,0.000,0.0,0.000,0.000,0.0,-0.06
권민석,두산,1,2,2,0,0,0,0,0,1,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.06
송준석,삼성,7,8,8,2,0,0,1,0,0,0,0.250,0.250,0.25,0.250,0.500,0.228,-0.07
변우혁,KIA,83,226,200,45,7,23,24,23,74,0,0.319,0.225,0.314,0.350,0.664,0.308,-0.07
김건희,Hero,8,13,11,2,0,0,0,2,4,0,0.286,0.182,0.308,0.182,0.490,0.26,-0.07
김수윤,NC,16,15,14,3,0,0,2,1,4,0,0.300,0.214,0.267,0.214,0.481,0.234,-0.08
박지훈,두산,22,21,19,4,0,2,2,2,7,1,0.333,0.211,0.286,0.263,0.549,0.267,-0.08
오장한,NC,3,8,7,1,0,2,0,1,5,0,0.500,0.143,0.25,0.143,0.393,0.211,-0.08
이흥련,SSG,16,17,14,1,1,1,2,2,6,0,0.000,0.071,0.188,0.286,0.474,0.218,-0.08
이상혁,한화,7,2,2,0,0,0,0,0,1,1,0.000,0.000,0.0,0.000,0.000,0.0,-0.08
송대현,LG,4,3,3,0,0,0,0,0,2,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.08
고승민,롯데,94,308,255,57,2,35,24,42,64,8,0.285,0.224,0.331,0.318,0.649,0.309,-0.09
오선우,KIA,33,31,28,5,2,2,5,3,15,0,0.273,0.179,0.258,0.393,0.651,0.288,-0.09
김선우,KIA,5,7,7,1,0,0,0,0,2,0,0.200,0.143,0.143,0.143,0.286,0.131,-0.09
손민석,KT,9,12,10,1,0,2,1,1,3,0,0.143,0.100,0.25,0.100,0.350,0.206,-0.09
장지승,한화,3,3,3,0,0,0,0,0,0,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.09
유상빈,한화,3,8,6,0,0,1,0,1,1,0,0.000,0.000,0.25,0.000,0.250,0.195,-0.09
김건웅,SSG,1,3,3,0,0,0,0,0,2,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.09
문상철,KT,112,330,304,79,9,30,46,16,81,3,0.318,0.260,0.298,0.414,0.712,0.315,-0.1
서예일,두산,5,10,9,2,0,2,1,0,2,0,0.250,0.222,0.2,0.222,0.422,0.183,-0.1
김동혁,롯데,15,9,7,0,0,3,0,2,3,1,0.000,0.000,0.222,0.000,0.222,0.172,-0.1
김수환,Hero,50,114,97,21,2,8,15,11,36,0,0.317,0.216,0.319,0.320,0.639,0.305,-0.11
강준서,삼성,10,15,14,3,0,2,0,1,2,0,0.250,0.214,0.267,0.286,0.553,0.261,-0.11
장두성,롯데,25,15,13,2,0,7,1,1,3,2,0.200,0.154,0.214,0.154,0.368,0.186,-0.11
김재상,삼성,17,22,20,3,1,1,2,2,4,0,0.133,0.150,0.227,0.300,0.527,0.241,-0.11
김헌곤,삼성,6,4,4,0,0,0,0,0,1,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.12
고명준,SSG,2,4,4,0,0,0,0,0,3,0,0.000,0.000,0.0,0.000,0.000,0.0,-0.12
이승원,Hero,4,5,5,0,0,0,0,0,2,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.13
양찬열,두산,44,99,88,21,0,15,6,9,23,3,0.318,0.239,0.313,0.307,0.620,0.297,-0.14
김시앙,Hero,33,82,76,17,0,6,7,3,18,0,0.293,0.224,0.280,0.237,0.517,0.251,-0.14
장준원,KT,69,104,87,15,1,10,10,12,25,3,0.226,0.172,0.277,0.253,0.530,0.262,-0.14
허도환,LG,47,81,64,9,2,8,10,3,20,0,0.163,0.141,0.243,0.281,0.524,0.250,-0.14
박석민,NC,30,107,88,17,1,9,8,14,22,0,0.242,0.193,0.321,0.239,0.560,0.285,-0.15
서동욱,롯데,13,20,17,2,0,2,0,3,5,0,0.167,0.118,0.250,0.176,0.426,0.228,-0.15
공민규,삼성,22,33,31,6,0,0,2,2,13,0,0.333,0.194,0.242,0.290,0.532,0.251,-0.16
지시완,롯데,6,10,8,1,0,0,0,0,5,0,0.333,0.125,0.125,0.125,0.250,0.114,-0.16
김재현,Hero,8,10,9,1,0,0,0,0,3,0,0.167,0.111,0.111,0.111,0.222,0.102,-0.16
오태양,NC,21,3,3,0,0,4,0,0,3,3,,0.000,0.000,0.000,0.000,0.000,-0.16
예진원,Hero,16,36,34,8,1,2,4,0,7,0,0.269,0.235,0.235,0.353,0.588,0.257,-0.17
이병규,Hero,7,17,17,4,0,3,2,0,4,0,0.308,0.235,0.235,0.235,0.470,0.215,-0.17
최상민,SSG,51,41,34,8,0,5,3,4,7,2,0.286,0.235,0.308,0.235,0.543,0.267,-0.18
신성현,두산,12,15,12,1,0,1,1,3,4,0,0.125,0.083,0.267,0.083,0.350,0.216,-0.18
김병희,KT,5,9,8,0,0,0,0,1,4,0,0.000,0.000,0.111,0.000,0.111,0.086,-0.18
전민재,두산,19,18,17,4,0,3,1,0,3,0,0.286,0.235,0.235,0.353,0.588,0.262,-0.19
허관회,한화,10,7,7,0,0,1,0,0,2,0,0.000,0.000,0.000,0.000,0.000,0.000,-0.19
김건,한화,7,12,12,2,0,1,0,0,8,0,0.500,0.167,0.167,0.167,0.334,0.152,-0.20
박준태,Hero,14,15,14,2,0,0,1,1,7,0,0.286,0.143,0.200,0.143,0.343,0.174,-0.20
이주형(38),LG,18,16,15,4,0,2,2,0,5,0,0.400,0.267,0.313,0.400,0.713,0.328,-0.21
이재원,LG,57,129,112,24,4,15,18,12,40,4,0.282,0.214,0.295,0.366,0.661,0.294,-0.21
김상민,삼성,8,13,12,1,0,3,0,1,3,0,0.111,0.083,0.154,0.083,0.237,0.130,-0.22
박주찬,NC,5,14,14,2,0,1,0,0,2,0,0.167,0.143,0.143,0.143,0.286,0.131,-0.23
송찬의,LG,19,22,18,1,0,2,1,4,6,1,0.083,0.056,0.227,0.111,0.338,0.201,-0.23
김영웅,삼성,55,103,91,17,2,11,12,8,28,1,0.242,0.187,0.250,0.319,0.569,0.262,-0.24
신범수,KIA,36,100,88,15,2,7,10,7,19,0,0.191,0.170,0.245,0.273,0.518,0.244,-0.24
이성곤,한화,8,16,14,2,0,2,0,1,3,0,0.182,0.143,0.200,0.143,0.343,0.174,-0.24
최승민,LG,38,15,14,1,0,10,1,1,4,8,0.100,0.071,0.133,0.071,0.204,0.113,-0.24
최경모,SSG,28,20,20,3,0,6,1,0,5,2,0.200,0.150,0.150,0.150,0.300,0.137,-0.25
강진성,두산,3,3,3,1,0,0,0,0,0,0,0.333,0.333,0.333,0.333,0.666,0.305,-0.26
