선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
김기탁,한화,0,0,0,0,0,5,0,7.0,3.86,6.43,1.29,0.4,48.2,9.0,6.7,7.1,-0.06,-0.26
백청훈,LG,0,0,0,0,0,2,0,1.1,0.0,0.0,6.75,0.429,38.5,20.25,13.3,13.85,-0.06,-0.1
서균,한화,0,0,0,0,0,7,0,7.1,1.23,7.36,0.0,0.28,100.0,0.0,6.15,6.93,-0.06,0.29
황인준,KIA,0,0,0,0,0,3,0,4.0,2.25,4.5,2.25,0.385,90.9,4.5,7.8,8.28,-0.06,0.02
남재현,KIA,0,0,0,0,0,8,0,15.2,4.6,6.32,0.57,0.333,65.4,4.02,5.66,6.02,-0.07,-0.15
박승주,Hero,0,1,0,0,1,5,0,3.2,7.36,12.27,0.0,0.588,46.7,19.64,6.01,6.36,-0.07,-0.25
한승주,한화,0,0,0,0,0,1,1,1.2,10.8,10.8,5.4,0.4,55.6,16.2,12.55,12.61,-0.07,-0.14
김정후,Hero,0,0,0,0,0,4,0,3.0,9.0,12.0,3.0,0.5,72.9,12.0,9.89,10.13,-0.07,-0.15
이주엽,두산,0,0,0,0,0,4,0,3.1,5.4,18.9,0.0,0.3,70.0,8.1,8.65,9.54,-0.07,-0.05
박세진,KT,0,0,0,0,0,1,0,0.1,0.0,27.0,0.0,0.667,0.0,108.0,21.55,25.7,-0.07,-0.36
김찬호,SK,0,0,0,0,0,3,0,2.0,4.5,18.0,4.5,0.5,39.5,27.0,15.05,16.07,-0.07,-0.08
이상민,삼성,0,1,0,1,0,17,1,14.0,8.36,7.07,2.57,0.342,81.2,6.43,7.77,7.82,-0.08,0.02
노시환(투),한화,0,0,0,0,0,1,0,1.0,0.0,0.0,9.0,0.0,0.0,18.0,19.55,20.92,-0.08,-0.06
김택형,SK,1,3,0,3,0,31,0,23.0,8.61,7.83,1.96,0.318,51.3,8.61,6.95,6.96,-0.08,-0.06
김명찬,KIA,0,1,0,1,1,21,0,8.2,11.42,12.46,2.08,0.423,82.6,6.23,8.86,9.06,-0.09,-0.15
양선률,SK,0,0,0,0,0,1,0,1.0,0.0,18.0,9.0,0.0,125.0,9.0,22.55,24.09,-0.09,-0.02
이원준,SK,0,1,0,0,0,17,0,19.1,7.91,7.45,1.4,0.391,67.8,7.45,5.99,6.01,-0.1,-0.53
이찬혁,LG,0,0,0,0,0,4,0,3.1,2.7,8.1,2.7,0.273,90.9,5.4,10.45,11.32,-0.1,-0.01
이용찬*,두산,1,3,0,0,0,5,5,26.2,5.06,2.02,2.36,0.362,59.1,8.44,6.52,6.6,-0.1,-0.33
양기현,Hero,0,1,0,1,0,24,0,23.1,4.63,3.86,1.16,0.3,81.2,3.86,5.48,5.69,-0.1,0.47
이재익,삼성,0,0,0,0,0,4,0,0.2,13.5,27.0,27.0,0.75,-13.9,135.0,48.55,49.63,-0.11,-0.07
윤호솔,한화,0,1,0,0,0,6,0,6.0,6.0,9.0,3.0,0.316,53.6,10.5,9.05,9.34,-0.11,-0.25
최영환,롯데,0,1,0,0,0,6,1,10.0,6.3,2.7,3.6,0.395,69.0,6.3,8.55,8.65,-0.11,-0.32
문대원,두산,0,0,0,0,0,4,0,5.2,0.0,3.18,3.18,0.385,44.6,9.53,9.2,9.84,-0.12,-0.3
김기훈,KIA,0,4,0,1,0,22,7,52.0,6.75,5.37,1.38,0.327,70.2,5.37,5.96,6.06,-0.12,0.19
황동재,삼성,0,0,0,0,0,1,0,1.1,20.25,27.0,6.75,0.875,37.7,54.0,17.8,17.83,-0.12,-0.44
신재웅,SK,2,0,0,0,0,24,0,19.1,5.12,6.52,2.33,0.333,60.6,9.31,7.95,8.26,-0.12,-0.17
이현호,한화,0,2,0,0,1,16,0,15.1,8.8,5.87,2.35,0.318,72.6,6.46,7.14,7.12,-0.13,-0.06
조제영,두산,0,1,0,0,0,4,1,6.0,9.0,10.5,1.5,0.312,55.6,10.5,7.72,7.98,-0.13,-0.19
조병욱,KT,0,1,0,0,0,9,4,28.1,3.49,4.13,1.27,0.343,61.2,7.62,6.1,6.44,-0.13,-0.12
이강준,KT,0,0,0,0,0,4,0,5.2,4.76,7.94,1.59,0.4,83.3,6.35,9.03,9.84,-0.13,-0.03
김성민,Hero,1,0,0,0,0,25,0,23.2,7.99,4.56,1.14,0.357,61.9,6.46,5.08,5.04,-0.14,-0.35
장원삼,롯데,0,3,0,0,0,13,4,34.0,3.97,2.65,1.59,0.344,56.0,7.68,6.03,6.28,-0.14,-0.6
신재영,Hero,0,0,0,0,0,7,0,5.0,1.8,7.2,3.6,0.423,63.4,12.6,10.75,11.44,-0.14,-0.11
유원상,KT,2,1,2,9,1,62,0,64.0,5.2,3.94,1.12,0.223,70.2,3.8,5.34,5.48,-0.14,1.48
심창민,삼성,2,2,0,3,1,23,0,20.1,9.3,7.97,1.33,0.288,53.3,7.52,6.36,6.4,-0.14,0.16
이우찬,LG,0,0,0,0,0,4,1,4.2,7.71,13.5,1.93,0.5,72.3,11.57,10.41,11.16,-0.15,-0.13
오동욱,한화,0,1,0,0,0,4,1,10.0,4.5,6.3,2.7,0.442,44.8,13.5,9.15,9.67,-0.15,-0.61
홍성무,NC,0,0,1,0,0,11,0,15.0,7.2,7.8,1.8,0.346,42.2,12.6,7.35,7.57,-0.16,-0.52
소이현,NC,0,0,0,0,0,13,0,12.1,5.84,10.22,0.73,0.2,64.8,6.57,6.96,7.43,-0.16,0.05
허윤동,삼성,2,1,0,0,0,11,11,45.0,3.8,6.2,0.8,0.265,71.0,4.8,6.07,6.49,-0.16,0.8
강동연,NC,1,2,0,1,1,22,0,24.0,6.38,4.12,1.12,0.329,63.2,6.0,5.14,5.19,-0.17,-0.29
배재환,NC,1,3,0,12,5,53,0,43.0,6.91,7.33,0.84,0.272,78.5,3.98,6.09,6.37,-0.17,0.75
고효준,롯데,1,0,0,0,0,24,0,15.2,6.32,6.32,1.72,0.224,75.6,5.74,7.32,7.64,-0.18,0.09
배민서,NC,0,0,0,0,0,13,0,13.1,6.08,4.72,2.7,0.295,65.2,7.42,7.68,7.81,-0.19,-0.16
박주홍,한화,0,5,0,0,0,11,5,24.2,6.93,5.84,1.82,0.333,56.4,8.39,6.6,6.69,-0.21,-0.4
신민혁,NC,2,3,0,0,0,17,7,42.0,5.57,2.79,2.14,0.326,78.0,5.79,6.55,6.68,-0.22,0.33
이대은,KT,0,4,1,0,2,20,4,29.1,4.6,3.99,1.23,0.308,64.0,5.83,5.84,6.13,-0.23,-0.37
장지훈,삼성,0,1,0,0,1,29,0,27.2,7.81,6.83,2.28,0.356,48.9,10.08,7.71,7.86,-0.24,-0.72
양승철,KIA,0,0,0,0,0,15,1,28.2,4.08,7.53,1.26,0.374,67.3,7.85,7.29,7.81,-0.24,-0.15
이승민,삼성,1,3,0,0,0,7,5,26.1,5.47,6.49,1.71,0.333,69.6,6.84,6.86,7.1,-0.24,0.01
김주온,SK,0,3,0,0,1,29,0,31.0,5.23,6.39,1.45,0.38,69.7,7.55,7.1,7.5,-0.26,-0.03
서진용,SK,2,7,8,12,5,63,0,61.0,8.26,5.02,1.62,0.259,75.4,4.13,5.74,5.66,-0.27,0.78
김현수,KIA,1,2,0,0,0,15,4,32.1,5.29,8.63,0.84,0.345,67.3,7.24,6.65,7.07,-0.28,-0.01
김세현,SK,2,0,1,7,1,42,0,42.0,7.5,4.71,1.5,0.316,68.2,5.79,5.7,5.69,-0.28,0.25
서덕원,KIA,0,0,0,0,0,11,0,12.2,4.26,2.84,3.55,0.22,64.3,8.53,9.4,9.8,-0.29,-0.19
김민,KT,3,3,0,1,0,24,6,42.2,6.75,6.12,1.27,0.296,62.8,6.54,6.27,6.48,-0.31,-0.11
문동욱,한화,0,1,1,1,0,19,0,18.0,4.5,8.5,1.0,0.196,74.5,4.5,7.0,7.5,-0.31,0.14
여건욱,LG,1,3,1,2,0,25,0,27.2,5.86,1.3,2.6,0.311,59.7,7.16,6.77,6.83,-0.34,-0.33
장현식,KIA,4,4,0,6,2,37,3,41.0,5.71,4.83,1.76,0.384,47.6,10.76,6.65,6.86,-0.34,-1.44
류원석,LG,0,1,0,0,0,4,1,4.2,9.64,21.21,1.93,0.438,41.7,11.57,13.84,15.15,-0.35,-0.54
정영일,SK,2,2,2,2,1,29,0,23.1,6.56,4.24,2.31,0.333,68.3,6.56,7.11,7.24,-0.35,-0.06
이상규,LG,2,3,4,1,1,28,0,31.0,5.23,6.1,1.16,0.383,71.7,6.68,6.2,6.48,-0.39,-0.23
홍상삼,KIA,4,5,0,17,1,57,0,48.0,11.44,10.12,0.94,0.257,75.6,5.06,5.93,5.85,-0.41,0.67
김진호,NC,0,1,0,0,0,3,3,10.1,6.1,6.97,4.35,0.273,81.2,8.71,11.1,11.46,-0.42,-0.14
김주한,SK,1,7,0,0,0,22,7,46.0,4.3,3.91,1.37,0.325,57.5,7.43,6.4,6.77,-0.43,-0.53
김진욱,한화,3,4,1,0,0,22,6,44.2,5.84,5.04,1.81,0.301,75.7,5.64,6.89,7.13,-0.44,0.43
백승건,SK,0,5,0,0,0,10,7,29.1,8.59,9.51,2.15,0.345,68.1,7.98,8.12,8.31,-0.44,-0.59
박시영,롯데,1,1,0,1,0,36,0,30.1,6.23,6.82,1.48,0.29,59.2,8.01,6.69,6.91,-0.48,-0.47
안영명,한화,1,1,0,1,1,39,0,45.2,6.7,3.55,1.77,0.313,66.8,5.91,5.88,5.89,-0.5,0.05
조영건,Hero,3,3,0,0,0,20,10,44.1,4.67,5.48,1.62,0.271,71.9,5.28,6.89,7.24,-0.52,0.23
임규빈,Hero,2,0,0,2,0,33,0,37.2,4.78,2.39,2.63,0.299,89.2,4.54,7.25,7.42,-0.54,0.52
박진태,KIA,0,0,0,0,0,12,0,18.2,6.75,7.71,4.34,0.371,63.5,13.02,11.54,11.96,-0.57,-0.74
최성영,NC,2,4,0,0,0,14,13,60.2,4.01,5.19,1.93,0.271,69.1,6.08,7.33,7.71,-0.78,0.14
이형범,두산,1,2,1,1,2,27,0,25.2,4.56,5.61,1.75,0.294,63.4,7.71,6.94,7.27,-0.89,-0.31
