선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
서준원,롯데,7,6,0,0,0,31,20,107.2,5.02,2.59,1.34,0.315,66.2,5.18,5.35,5.47,0.62,1.22
김대우(투),롯데,0,1,0,0,0,46,1,49.1,7.84,4.74,0.18,0.331,72.4,3.1,3.72,3.65,0.61,1.01
최동환,LG,4,1,0,4,2,54,0,57.0,6.63,1.89,0.95,0.291,75.5,3.47,4.19,4.11,0.58,2.08
이현승,두산,2,1,2,10,2,62,0,42.1,8.93,4.46,0.43,0.368,64.5,5.32,3.81,3.65,0.58,0.25
김원중,롯데,5,4,25,0,7,58,0,59.1,8.65,3.49,1.21,0.277,72.1,3.94,4.3,4.05,0.58,0.91
조현우,KT,5,1,1,9,1,54,0,46.2,6.36,4.44,0.19,0.274,75.9,3.09,3.9,3.94,0.57,1.63
정수민,SK,1,0,0,0,0,3,3,15.2,6.32,2.87,0.0,0.244,87.5,1.15,3.11,3.07,0.56,1.01
임창민,NC,7,2,0,11,1,44,0,37.2,10.51,5.5,0.96,0.34,65.1,5.26,4.51,4.25,0.53,1.03
홍성민,NC,1,0,0,8,0,30,0,26.0,4.85,2.08,0.69,0.228,95.2,1.04,4.29,4.4,0.53,1.63
이인복,롯데,1,4,0,2,1,47,1,45.1,4.17,2.38,0.4,0.346,71.4,3.97,4.0,4.15,0.53,0.8
양현,Hero,8,3,2,11,2,58,1,60.0,4.95,2.7,0.6,0.289,76.3,3.3,4.37,4.5,0.52,1.74
안우진,Hero,2,3,2,13,5,42,0,36.0,10.25,4.25,0.75,0.207,76.2,3.0,3.69,3.35,0.52,1.25
최지광,삼성,1,3,0,15,5,51,0,44.1,9.14,6.29,0.41,0.283,67.5,4.87,4.14,4.03,0.51,0.61
이재학,NC,5,6,0,0,0,19,19,90.2,6.06,4.27,1.39,0.318,65.2,6.55,5.8,5.93,0.48,0.88
이태양,SK,2,1,0,4,0,53,0,56.0,7.23,2.57,1.29,0.341,67.8,5.46,4.61,4.49,0.48,0.86
이보근,KT,3,1,6,9,2,49,0,46.2,5.21,2.12,0.39,0.272,72.8,2.51,3.73,3.78,0.47,1.27
임현준,삼성,1,1,0,5,0,51,0,25.1,6.39,2.49,0.71,0.293,87.7,1.78,4.58,4.69,0.46,1.22
김윤식,LG,2,4,0,2,0,23,11,67.2,5.05,3.19,0.93,0.349,62.5,6.25,5.11,5.29,0.44,0.12
박민호,SK,2,1,4,11,3,57,0,52.0,6.23,3.29,0.69,0.264,82.2,2.42,4.38,4.41,0.43,2.0
윤대경,한화,5,0,0,7,0,55,0,51.0,7.41,4.41,0.53,0.304,83.6,1.59,4.14,4.11,0.42,1.75
전유수,KT,5,4,2,3,1,47,0,45.2,5.32,4.14,0.59,0.303,66.9,5.12,4.47,4.6,0.39,0.96
문경찬,NC,0,5,10,11,3,56,0,52.0,7.62,2.6,1.9,0.261,62.7,5.02,5.59,5.48,0.39,0.66
백정현,삼성,4,4,0,0,0,11,11,59.0,7.02,2.59,1.98,0.3,62.9,5.19,5.78,5.7,0.37,0.83
박종기,두산,1,2,0,0,0,8,5,26.0,6.92,4.85,1.04,0.338,70.4,5.54,5.13,5.16,0.36,0.43
정해영,KIA,5,4,1,11,3,47,0,38.1,7.51,5.87,0.47,0.364,81.3,3.29,4.52,4.55,0.34,1.03
이정용,LG,3,0,0,4,1,34,0,34.0,8.74,3.71,1.59,0.286,83.3,3.71,5.32,5.17,0.32,1.14
김건국,롯데,3,2,0,1,1,32,0,31.2,8.81,2.56,0.57,0.298,71.4,3.98,3.55,3.34,0.31,0.46
오현택,롯데,3,1,0,7,1,48,0,36.0,4.25,2.00,1.25,0.269,80.0,3.75,5.17,5.33,0.3,1.15
송은범,LG,4,2,2,6,0,56,1,56.0,4.50,3.05,0.64,0.325,71.6,4.50,4.61,4.79,0.28,1.58
최준용,롯데,0,2,0,8,0,31,0,29.2,7.89,3.34,0.91,0.326,70.4,4.85,4.03,3.87,0.27,0.21
김종수,한화,1,1,1,7,1,54,0,50.0,7.74,4.68,1.08,0.327,65.7,5.94,5.07,5.05,0.26,0.9
주권,KT,6,2,0,31,7,77,0,70.0,4.76,4.11,0.77,0.225,78.9,2.70,4.98,5.17,0.25,2.98
고영창,KIA,1,1,1,2,0,48,0,58.0,3.57,2.64,0.47,0.381,60.5,6.83,4.47,4.74,0.25,0.3
조영우,SK,2,4,0,0,0,35,7,77.0,4.44,2.92,1.40,0.322,66.9,5.96,5.65,5.83,0.24,0.9
박진우,NC,2,2,0,7,1,43,1,43.0,4.60,2.72,0.42,0.306,58.5,5.23,4.39,4.61,0.23,0.33
박상원,한화,1,0,1,10,4,62,0,58.0,8.07,3.26,1.24,0.316,68.6,4.66,4.64,4.50,0.23,0.51
김강률,두산,2,2,0,0,0,30,0,28.0,9.00,6.43,0.32,0.398,64.8,3.54,4.59,4.60,0.21,0.14
진명호,롯데,0,1,0,2,1,37,0,31.1,9.19,6.32,0.86,0.302,57.4,7.18,5.05,4.99,0.18,0.08
킹엄,SK,0,2,0,0,0,2,2,10.2,5.06,3.38,0.84,0.375,48.4,6.75,4.77,4.89,0.16,-0.14
강윤구,NC,1,1,0,3,0,30,0,21.0,6.43,4.71,1.29,0.378,68.8,6.86,5.55,5.62,0.16,0.38
장웅정,한화,0,1,0,0,0,2,2,7.2,5.87,5.87,0.00,0.292,75.0,3.52,4.21,4.36,0.16,0.25
권혁,두산,2,2,0,2,0,15,0,7.2,8.22,4.70,0.00,0.407,40.0,9.39,3.29,3.17,0.15,-0.24
권휘,두산,0,1,0,1,0,14,0,13.2,6.59,3.95,0.66,0.341,70.8,5.27,4.80,4.91,0.15,0.18
남호,LG,0,0,0,0,0,6,3,18.1,6.87,5.89,0.49,0.222,69.1,3.93,4.86,4.98,0.15,0.29
김정빈,SK,1,1,1,10,1,57,0,47.1,7.99,8.56,0.95,0.256,72.3,5.13,6.45,6.69,0.15,0.96
노성호,삼성,2,3,0,10,0,45,0,36.1,8.42,7.18,0.74,0.258,65.7,4.46,5.23,5.26,0.15,0.45
윤명준,두산,1,0,2,7,0,42,0,41.0,4.39,2.85,0.88,0.329,69.0,4.83,4.80,4.96,0.14,0.36
김범수,한화,3,6,0,0,0,24,8,55.0,9.00,6.87,1.47,0.309,75.5,5.24,5.97,5.93,0.14,0.69
송승준,롯데,2,2,0,1,0,22,1,24.2,9.12,5.11,0.73,0.384,67.9,6.20,4.41,4.28,0.13,-0.01
장필준,삼성,0,3,0,4,1,31,2,36.0,6.50,4.00,1.50,0.333,70.9,5.75,5.61,5.64,0.13,0.26
하준호,KT,0,3,0,5,1,42,1,41.2,5.62,5.83,0.22,0.280,56.4,6.05,4.63,4.84,0.12,-0.2
김유영,롯데,0,0,0,0,0,12,0,7.1,6.14,8.59,0.00,0.211,63.6,4.91,4.24,4.38,0.12,0.28
김선기,Hero,0,0,0,3,0,25,0,22.0,4.50,3.27,0.41,0.239,76.1,2.05,4.78,5.08,0.11,0.74
박희수,SK,0,1,0,0,0,28,0,24.2,9.49,3.65,1.46,0.338,67.9,5.47,4.65,4.36,0.11,-0.05
이창재,KT,0,0,0,1,0,10,0,8.0,7.88,4.50,0.00,0.370,57.1,5.62,3.30,3.20,0.11,0.13
류희운,KT,0,1,0,0,0,7,0,8.1,7.56,4.32,1.08,0.448,48.2,10.80,4.87,4.81,0.1,-0.2
김대현,LG,4,0,0,3,3,33,0,32.1,7.79,6.40,1.67,0.316,70.3,5.85,6.37,6.41,0.09,0.35
송윤준,한화,0,0,0,1,0,26,0,23.0,6.26,5.09,0.39,0.301,73.0,4.30,4.55,4.68,0.09,0.41
손정욱,NC,0,0,0,0,0,16,0,12.0,3.75,3.75,0.75,0.341,68.0,5.25,5.30,5.63,0.09,0.09
윤성환,삼성,0,2,0,0,0,5,5,18.2,1.93,5.30,0.00,0.288,57.6,5.79,5.38,6.00,0.09,0.26
손동현,KT,0,0,0,1,0,23,0,20.1,5.31,4.43,2.21,0.258,70.8,5.31,6.90,7.05,0.08,0.66
박신지,두산,0,0,0,0,0,2,0,3.0,9.00,3.00,0.00,0.643,40.0,18.00,2.55,2.26,0.05,-0.19
홍정우,삼성,0,0,0,1,0,30,0,30.0,8.70,3.60,1.50,0.352,62.8,6.60,5.09,4.91,0.05,-0.11
김동혁,Hero,0,1,0,0,0,8,0,8.2,6.23,1.04,1.04,0.259,58.1,5.19,4.36,4.34,0.05,0.09
이영준,Hero,2,3,0,25,1,52,0,40.0,7.20,4.05,1.12,0.305,74.1,4.72,5.08,5.08,0.04,0.7
강동호,롯데,1,0,0,0,0,7,0,11.0,6.55,4.91,2.45,0.294,67.6,7.36,7.28,7.37,0.04,0.27
오주원,Hero,3,1,0,2,1,25,0,18.1,6.38,0.00,2.95,0.286,73.5,5.40,6.39,6.25,0.04,0.32
정용운,LG,0,0,0,0,0,3,0,1.2,16.20,5.40,0.00,0.600,25.0,16.20,1.75,0.90,0.04,-0.06
권오준,삼성,0,2,0,1,0,17,0,16.0,5.62,1.69,1.69,0.345,33.7,8.44,5.30,5.30,0.04,-0.41
윤희상,SK,0,0,0,0,0,4,1,3.0,6.00,6.00,0.00,0.143,66.7,3.00,4.22,4.37,0.03,0.12
이상동,KT,0,0,0,0,0,5,0,6.0,4.50,4.50,0.00,0.458,57.1,9.00,4.05,4.27,0.03,-0.07
이상화,KT,1,1,0,1,0,18,0,15.0,4.20,6.00,1.20,0.200,65.9,5.40,5.95,6.24,0.03,0.45
김대유,LG,0,0,0,0,0,3,0,2.1,3.86,3.86,0.00,0.455,14.3,23.14,5.27,5.84,0.03,0.03
이승헌,NC,0,0,0,0,0,3,0,2.0,9.00,4.50,4.50,0.333,83.3,9.00,11.05,11.32,0.02,0.02
강지광(투),SK,0,0,0,0,0,6,0,3.2,9.82,2.45,2.45,0.462,75.8,4.91,5.74,5.39,0.02,0.03
이승현,삼성,1,2,0,14,2,65,0,54.1,8.61,4.14,1.82,0.252,87.9,3.48,5.60,5.43,0.02,1.58
양창섭,삼성,0,0,0,0,0,7,0,6.2,5.40,4.05,1.35,0.263,92.1,2.70,5.20,5.27,0.01,0.23
채지선,두산,1,0,0,2,0,37,0,33.0,9.27,6.55,0.82,0.341,76.5,4.91,5.22,5.21,0.01,0.64
조성운,Hero,1,1,0,1,0,42,0,45.0,5.80,3.80,1.20,0.298,64.4,5.40,5.33,5.44,0.01,-0.02
한승혁,롯데,1,0,0,0,0,9,0,7.0,3.86,5.14,0.00,0.333,66.7,5.14,4.41,4.72,0.01,0.06
이선우,KT,0,0,0,0,0,2,0,2.0,4.50,4.50,4.50,0.500,71.4,13.50,10.55,10.86,0.01,0.02
윤규진,한화,0,0,0,0,0,2,0,3.2,9.82,2.45,2.45,0.462,45.5,7.36,5.74,5.39,0.01,-0.15
정대현,Hero,0,0,0,0,0,1,1,2.2,10.12,0.00,3.38,0.444,55.6,10.12,6.18,5.69,0.01,-0.09
차재용,Hero,0,0,0,0,0,1,0,1.0,0.00,0.00,0.00,0.000,-,0.00,3.55,3.96,0.01,0.03
안인산,NC,0,0,0,0,0,1,0,1.0,0.00,0.00,0.00,0.000,-,0.00,3.55,3.96,0.01,0.05
김대우,삼성,3,7,0,1,0,28,9,77.2,4.29,3.01,1.04,0.317,68.2,5.10,5.34,5.58,0.0,0.91
