"player_id","playerName","teamName","G","TPA","AB","H","X1B","X2B","X3B","HR","R","RBI","BB","IBB","K","SB","BBK","BABIP","AVG","OBP","SLG","OPS","RC","RC27","wRC","wOBA","oWAR"
1396,"이재율","NC",23,17,15,3,1,2,0,0,5,1,0,0,3,1,0,0.25,0.2,0.294,0.333,0.627,1.07,2.063571,1.43,0.295,-0.05
650,"김응민","삼성",1,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-0.37,0,-0.05
1616,"전민재","두산",9,5,4,1,1,0,0,0,1,1,0,0,2,0,0,0.333,0.25,0.2,0.25,0.45,0.34,2.295,-0.09,0.184,-0.06
1676,"오정환","KIA",9,18,17,4,3,1,0,0,1,2,1,0,9,0,0.111,0.5,0.235,0.278,0.294,0.572,1.46,3.032308,1.03,0.266,-0.06
945,"유서준","SSG",6,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.37,0,-0.06
1539,"최민창","LG",3,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-0.37,0,-0.06
1942,"이태훈","삼성",3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.37,0,-0.06
1965,"최우재","NC",2,2,2,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-0.37,0,-0.06
1931,"크레익","Hero",61,247,222,55,37,12,0,6,25,30,20,1,43,0,0.465,0.282,0.248,0.32,0.383,0.703,27.46,4.285665,26.35,0.32,-0.07
1805,"김병휘","Hero",13,11,10,2,2,0,0,0,5,0,1,0,2,0,0.5,0.25,0.2,0.273,0.2,0.473,0.62,2.0925,0.34,0.237,-0.07
1933,"최보성","NC",10,14,12,3,3,0,0,0,0,1,0,0,5,0,0,0.429,0.25,0.308,0.25,0.558,0.81,1.988182,0.89,0.273,-0.08
1852,"이호연","롯데",7,11,9,2,2,0,0,0,0,1,1,0,1,0,1,0.222,0.222,0.273,0.222,0.495,0.55,1.65,0.34,0.237,-0.08
1918,"이주형","Hero",5,11,10,1,0,0,0,1,1,3,1,0,7,0,0.143,0,0.1,0.182,0.4,0.582,0.77,2.31,0.46,0.249,-0.08
552,"정상호","SSG",3,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.56,0,-0.08
1902,"이영빈","LG",71,168,148,36,25,9,0,2,21,16,14,0,51,6,0.275,0.351,0.243,0.317,0.345,0.662,17.62,3.997815,16.07,0.308,-0.09
1842,"문찬종","Hero",13,17,14,2,2,0,0,0,0,1,3,0,4,0,0.75,0.2,0.143,0.294,0.143,0.437,0.65,1.35,0.64,0.245,-0.09
1477,"김민혁","두산",6,8,6,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0.25,0,0.25,0.13,0.585,-0.07,0.194,-0.09
768,"백동훈","두산",5,3,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.56,0,-0.09
912,"장준원","LG",5,3,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,-0.56,0,-0.09
1601,"백승민","삼성",4,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-0.56,0,-0.09
1800,"오명진","두산",2,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.56,0,-0.09
1453,"김주현","롯데",8,17,16,4,4,0,0,0,1,0,1,0,6,0,0.167,0.4,0.25,0.294,0.25,0.544,1.25,2.8125,0.91,0.262,-0.1
91,"오준혁","SSG",26,50,46,10,6,2,0,2,7,5,4,0,15,0,0.267,0.276,0.217,0.28,0.391,0.671,4.57,3.247105,4.47,0.301,-0.1
1724,"박승규","삼성",59,78,66,12,8,1,0,3,13,5,9,0,9,1,1,0.167,0.182,0.299,0.333,0.632,5.98,2.691,6.84,0.299,-0.1
